From hh@nordita.dk Wed Oct 21 16:47:03 1998
Received: (from hh@localhost)
	by norserv.nordita.dk (8.8.5/8.8.5) id QAA03912
	for mjensen; Wed, 21 Oct 1998 16:47:03 +0200 (MET DST)
Date: Wed, 21 Oct 1998 16:47:03 +0200 (MET DST)
From: Henning Heiselberg <hh@nordita.dk>
Message-Id: <199810211447.QAA03912@norserv.nordita.dk>
To: mjensen@nordita.dk
Content-Length: 2700
Status: R

 0.020     0.008   147.493
 0.070     0.046   142.122
 0.120     0.096   137.382
 0.170     0.153   133.064
 0.220     0.214   129.080
 0.270     0.281   125.374
 0.320     0.352   121.911
 0.370     0.429   118.665
 0.420     0.511   115.616
 0.470     0.602   112.748
 0.520     0.703   110.047
 0.570     0.813   107.503
 0.620     0.934   105.106
 0.670     1.066   102.848
 0.720     1.214   100.723
 0.770     1.376    98.723
 0.820     1.420    96.845
 0.870     1.600    95.081
 0.920     1.797    93.429
 0.970     2.010    91.884
 1.020     2.247    90.442
 1.070     2.499    89.100
 1.120     2.777    87.855
 1.170     3.077    86.704
 1.220     3.398    85.644
 1.270     3.750    84.672
 1.320     4.125    83.787
 1.370     4.525    82.986
 1.420     4.950    82.267
 1.470     5.401    81.628
 1.520     5.888    81.067
 1.570     6.402    80.583
 1.620     6.944    80.174
 1.670     7.527    79.839
 1.720     8.141    79.575
 1.770     8.771    79.381
 1.820     9.445    79.257
 1.870    10.166    79.201
 1.920    10.904    79.211
 1.970    11.691    79.287
 2.020    12.512    79.428
 2.120    14.258    79.897
 2.220    16.143    80.612
 2.320    18.194    81.566
 2.420    20.418    82.750
 2.520    22.796    84.158
 2.620    25.358    85.786
 2.720    28.054    87.626
 2.820    30.973    89.674
 2.920    34.028    91.925
 3.020    37.323    94.374
 3.120    40.757    97.017
 3.220    44.367    99.850
 3.320    48.196   102.868
 3.420    52.252   106.068
 3.520    56.449   109.447
 3.620    60.880   113.000
 3.720    65.502   116.725
 3.820    70.315   120.619
 3.920    75.322   124.678
 4.020    80.523   128.901
 4.120    85.980   133.283
 4.220    91.638   137.823
 4.320    97.498   142.518
 4.420   103.560   147.366
 4.520   109.826   152.364
 4.620   116.370   157.510
 4.720   123.125   162.802
 4.820   130.010   168.238
 4.920   137.184   173.816
 5.020   144.570   179.533
 5.120   152.168   185.389
 5.220   160.072   191.381
 5.320   168.100   197.508
 5.420   176.342   203.767
 5.520   184.900   210.158
 5.620   193.679   216.678
 5.720   202.571   223.326
 5.820   211.790   230.101
 5.920   221.230   237.001
 6.020   230.893   244.025
 6.270   256.088   262.117
 6.520   282.822   280.952
 6.770   310.979   300.514
 7.020   340.563   320.782
 7.270   371.740   341.740
 7.520   404.365   363.373
 7.770   438.440   385.664
 8.020   474.160   408.601
 8.270   511.352   432.169
 8.520   550.016   456.356
 8.770   590.377   481.150
 9.020   631.994   506.539
 9.270   675.331   532.511
 9.520   720.422   559.058
 9.770   766.754   586.167
10.020   814.862   613.830
10.520   915.617   670.780
11.020  1022.418   729.839
11.520  1135.977   790.943

From hh@nordita.dk Wed Oct 21 16:47:05 1998
Received: (from hh@localhost)
	by norserv.nordita.dk (8.8.5/8.8.5) id QAA03919
	for mjensen; Wed, 21 Oct 1998 16:47:05 +0200 (MET DST)
Date: Wed, 21 Oct 1998 16:47:05 +0200 (MET DST)
From: Henning Heiselberg <hh@nordita.dk>
Message-Id: <199810211447.QAA03919@norserv.nordita.dk>
To: mjensen@nordita.dk
Content-Length: 2700
Status: R

 0.020     0.008   0.00000
 0.070     0.046   0.00000
 0.120     0.096   0.00000
 0.170     0.153   0.00000
 0.220     0.214   0.00000
 0.270     0.281   0.00000
 0.320     0.352   0.00000
 0.370     0.429   0.00000
 0.420     0.511   0.00000
 0.470     0.602   0.00000
 0.520     0.703   0.00000
 0.570     0.813   0.00000
 0.620     0.934   0.00000
 0.670     1.066   0.00000
 0.720     1.214   0.00000
 0.770     1.376   0.00000
 0.820     1.420   0.00000
 0.870     1.600   0.00000
 0.920     1.797   0.00000
 0.970     2.010   0.00000
 1.020     2.247   0.00000
 1.070     2.499   0.00000
 1.120     2.777   0.00000
 1.170     3.077   0.00000
 1.220     3.398   0.00000
 1.270     3.750   0.00000
 1.320     4.125   0.00000
 1.370     4.525   0.00000
 1.420     4.950   0.00000
 1.470     5.401   0.00000
 1.520     5.888   0.00000
 1.570     6.402   0.00000
 1.620     6.944   0.00000
 1.670     7.527   0.00000
 1.720     8.141   0.00000
 1.770     8.771   0.00000
 1.820     9.445   0.00000
 1.870    10.166   0.00000
 1.920    10.904   0.00000
 1.970    11.691   0.00000
 2.020    12.512   0.00000
 2.120    14.258   0.00000
 2.220    16.143   0.00000
 2.320    18.194   0.00000
 2.420    20.418   0.00000
 2.520    22.796   0.00000
 2.620    25.358   0.00000
 2.720    28.054   0.00000
 2.820    30.973   0.00000
 2.920    34.028   0.00000
 3.020    37.323   0.00000
 3.126    41.000   0.00578
 3.246    45.389   0.02521
 3.364    49.916   0.04387
 3.481    54.587   0.06171
 3.597    59.408   0.07868
 3.712    64.400   0.09512
 3.827    69.558   0.11063
 3.942    74.904   0.12556
 4.057    80.456   0.14027
 4.172    86.214   0.15436
 4.287    92.187   0.16782
 4.403    98.395   0.18103
 4.519   104.850   0.19397
 4.636   111.561   0.20666
 4.754   118.541   0.21908
 4.874   125.800   0.23124
 4.994   133.353   0.24313
 5.116   141.222   0.25517
 5.239   149.410   0.26696
 5.363   157.934   0.27849
 5.490   166.818   0.29020
 5.618   176.078   0.30210
 5.748   185.725   0.31377
 5.881   195.797   0.32611
 6.016   206.297   0.33826
 6.153   217.257   0.35068
 6.293   228.704   0.36340
 6.436   240.650   0.37598
 6.583   253.157   0.38939
 6.732   266.243   0.40319
 7.124   301.869   0.44016
 7.546   342.162   0.48249
 8.009   388.513   0.53207
 8.527   442.784   0.59216
 9.125   508.095   0.66873
 9.842   589.744   0.77078
10.761   698.415   0.91779
11.663   808.816   1.00007
12.420   905.840   1.00007
13.212  1012.088   1.00007
14.041  1128.120   1.00007
14.907  1254.515   1.00007
15.812  1391.862   1.00008
16.756  1540.774   1.00008
17.740  1701.871   1.00008
18.765  1875.799   1.00008
20.941  2264.792   1.00009
23.292  2713.216   1.00009
25.823  3226.785   1.00010

From hh@nordita.dk Wed Oct 21 16:47:07 1998
Received: (from hh@localhost)
	by norserv.nordita.dk (8.8.5/8.8.5) id QAA03926
	for mjensen; Wed, 21 Oct 1998 16:47:07 +0200 (MET DST)
Date: Wed, 21 Oct 1998 16:47:07 +0200 (MET DST)
From: Henning Heiselberg <hh@nordita.dk>
Message-Id: <199810211447.QAA03926@norserv.nordita.dk>
To: mjensen@nordita.dk
Content-Length: 34
Status: R

 5.720   202.571
 7.840   392.050

